sku,name,description,category,price,cost_price,stock_quantity,low_stock_threshold
SKU001,Laptop Computer,15-inch business laptop with 16GB RAM,Electronics,899.99,650.00,25,5
SKU002,Wireless Mouse,Ergonomic wireless mouse with USB receiver,Electronics,29.99,15.00,100,20
SKU003,USB-C Cable,High-speed USB-C charging cable 6ft,Accessories,12.99,5.00,200,30
SKU004,Monitor Stand,Adjustable aluminum monitor stand,Accessories,45.99,25.00,50,10
SKU005,Keyboard Mechanical,RGB mechanical gaming keyboard cherry switches,Electronics,129.99,75.00,40,8
SKU006,Webcam HD,1080p HD webcam with built-in microphone,Electronics,79.99,45.00,60,12
SKU007,Desk Lamp LED,Adjustable LED desk lamp with USB charging,Office Supplies,34.99,18.00,75,15
SKU008,Notebook A5,Premium lined notebook A5 size 200 pages,Office Supplies,8.99,3.50,300,50
SKU009,Pen Set,Professional ballpoint pen set of 10 pieces,Office Supplies,14.99,6.00,150,25
SKU010,Headphones Bluetooth,Wireless noise-cancelling over-ear headphones,Electronics,199.99,120.00,35,7
SKU011,Phone Stand,Adjustable phone stand for desk,Accessories,19.99,8.00,80,15
SKU012,Screen Cleaner,Screen cleaning kit with microfiber cloth,Accessories,9.99,4.00,120,20
SKU013,Cable Organizer,Desktop cable management organizer,Accessories,15.99,7.00,90,18
SKU014,Power Bank,20000mAh portable power bank fast charging,Electronics,49.99,28.00,45,10
SKU015,Flash Drive 64GB,USB 3.0 flash drive 64GB high speed,Electronics,24.99,12.00,150,25
SKU016,Mouse Pad XL,Extra large gaming mouse pad 900x400mm,Accessories,19.99,9.00,70,12
SKU017,Laptop Sleeve,Protective laptop sleeve 15-inch,Accessories,29.99,15.00,55,10
SKU018,HDMI Cable,4K HDMI cable 6ft high speed,Accessories,16.99,7.50,100,20
SKU019,External SSD 500GB,Portable external SSD 500GB USB-C,Electronics,89.99,55.00,30,6
SKU020,Wireless Charger,Fast wireless charging pad Qi compatible,Electronics,34.99,18.00,65,12
SKU021,Desk Organizer,Multi-compartment desk organizer bamboo,Office Supplies,39.99,22.00,40,8
SKU022,Stapler Heavy Duty,Heavy duty stapler 100 sheet capacity,Office Supplies,18.99,9.50,60,12
SKU023,Scissors 8 inch,Professional scissors 8 inch stainless steel,Office Supplies,12.99,6.00,85,15
SKU024,Tape Dispenser,Desktop tape dispenser with tape,Office Supplies,9.99,4.50,95,18
SKU025,Paper Clips Box,Paper clips box 1000 pieces assorted sizes,Office Supplies,6.99,2.50,200,35
SKU026,Sticky Notes Pack,Sticky notes pack 12 pads assorted colors,Office Supplies,11.99,5.00,180,30
SKU027,Whiteboard Markers,Whiteboard markers set of 8 colors,Office Supplies,13.99,6.50,120,22
SKU028,USB Hub 4 Port,USB 3.0 hub 4 port powered,Electronics,24.99,13.00,70,14
SKU029,Bluetooth Speaker,Portable Bluetooth speaker waterproof,Electronics,59.99,35.00,50,10
SKU030,Reading Light,Clip-on LED reading light rechargeable,Electronics,22.99,11.00,65,13
